GM에드온[3.3.5a 아제로스코어] v2.8 GM 커맨드 재검증 목록

사용자 제공 command SQL: 740개
애드온 command 버튼: 188개
명령명 미매칭: 0개
보안 레벨 분포: Lv0=8, Lv1=27, Lv2=111, Lv3=39, Lv4=3

형식: [카테고리] 버튼명 | 실행문 | SQL 매칭명 | Security | 공식 도움말
[캐릭터] 모델 변경 | .morph target {args} | morph target | 1 | Syntax: .morph target #displayid - Change the selected target's current model id to #displayid.
[캐릭터] 모델 초기화 | .morph reset | morph reset | 1 | Syntax: .morph reset - Doesn't use any parameters to reset the selected target's model
[캐릭터] 속도 전체 변경 | .modify speed all {args} | modify speed all | 2 | Syntax: .modify aspeed #rate Modify all speeds -run,swim,run back,swim back- of the selected player to "normalbase speed for this move type"*rate. If no player is selected, modify your speed. #rate may range from 0.1 to 
[캐릭터] 페이즈 변경 | .modify phase {args} | modify phase | 2 | Syntax: .modify phase #phasemask Selected character phasemask changed to #phasemask with related world vision update. Change active until in game phase changed, or GM-mode enable/disable, or re-login. Character pts pasem
[캐릭터] 오라 추가 | .aura {args} | aura | 2 | Syntax: .aura #spellid Add the aura from spell #spellid to the selected Unit.
[캐릭터] 오라 제거 | .unaura {args} | unaura | 2 | Syntax: .unaura #spellid Remove aura due to spell #spellid from the selected Unit.
[캐릭터] 주문 습득 | .player learn {args} | player learn | 2 | Syntax: .player learn #playername #spell [all].
[캐릭터] 주문 삭제 | .player unlearn {args} | player unlearn | 2 | Syntax: .player unlearn #playername #spell [all].
[크리쳐] NPC 정보 | .npc info | npc info | 2 | Syntax: .npc info [#creature_guid] Display a list of details for the selected creature, or for the creature with the given GUID if no target is selected. When a creature is targeted or found in the current map, the list 
[크리쳐] NPC GUID | .npc guid | npc guid | 2 | Syntax: .npc guid Displays GUID, faction, NPC flags, Entry ID, Model ID for selected creature.
[크리쳐] NPC 근처 검색 | .npc near {args} | npc near | 2 | Syntax: .npc near #distance Returns all database creature spawns in a given distance.
[크리쳐] 거리 확인 | .distance | distance | 3 | Syntax: .distance Display the distance from your character to the selected creature.
[크리쳐] NPC 생성 | .npc add {args} | npc add | 3 | Syntax: .npc add #creatureid Spawn a creature by the given template id of #creatureid.
[크리쳐] NPC 삭제 | .npc delete | npc delete | 3 | Syntax: .npc delete [#guid] Delete creature with guid #guid (or the selected if no guid is provided)
[크리쳐] NPC 현재 위치로 이동 | .npc move | npc move | 2 | Syntax: .npc move [#creature_guid] Move the targeted creature spawn point to your coordinates.
[크리쳐] NPC 모델 변경 | .npc set model {args} | npc set model | 3 | Syntax: .npc set model #displayid Change the model id of the selected creature to #displayid.
[크리쳐] NPC 레벨 변경 | .npc set level {args} | npc set level | 3 | Syntax: .npc set level #level Change the level of the selected creature to #level. #level may range from 1 to (CONFIG_MAX_PLAYER_LEVEL) + 3.
[크리쳐] NPC 페이즈 변경 | .npc set phase {args} | npc set phase | 3 | Syntax: .npc set phase #phasemask Selected unit or pet phasemask changed to #phasemask with related world vision update for players. In creature case state saved to DB and persistent. In pet case change active until in g
[크리쳐] NPC 이동형태 | .npc set movetype {args} | npc set movetype | 3 | Syntax: .npc set movetype [#creature_guid] stay/random/way [NODEL] Set for creature pointed by #creature_guid (or selected if #creature_guid not provided) movement type and move it to respawn position (if creature alive)
[크리쳐] NPC 배회거리 | .npc set wanderdistance {args} | npc set wanderdistance | 3 | Syntax: .npc set wanderdistance #dist Adjust wander distance of selected creature to dist.
[크리쳐] NPC 리스폰시간 | .npc set spawntime {args} | npc set spawntime | 3 | Syntax: .npc set spawntime #time Adjust spawntime of selected creature to #time. #time: use a timestring like "10m30s".
[크리쳐] NPC 말하기 | .npc say {args} | npc say | 2 | Syntax: .npc say $message Make selected creature say specified message.
[크리쳐] NPC 외치기 | .npc yell {args} | npc yell | 2 | Syntax: .npc yell $message Make selected creature yell specified message.
[크리쳐] NPC 에모트 | .npc playemote {args} | npc playemote | 2 | Syntax: .npc playemote #emoteid Make the selected creature emote with an emote of id #emoteid.
[크리쳐] NPC 따라오기 | .npc follow | npc follow | 2 | Syntax: .npc follow start Selected creature start follow you until death/fight/etc.
[크리쳐] NPC 따라오기 중지 | .npc follow stop | npc follow stop | 2 | Syntax: .npc follow stop Selected creature (non pet) stop follow you.
[크리쳐] NPC 길들이기 | .npc tame | npc tame | 2 | Syntax: .npc tame Creates a player pet of the targeted creature.
[크리쳐] NPC 처치 | .die | die | 2 | Syntax: .die Kill the selected player. If no player is selected, it will kill you.
[크리쳐] NPC 리스폰 | .respawn | respawn | 2 | Syntax: .respawn Respawn the selected unit without waiting respawn time expiration.
[크리쳐] 크리쳐 Entry 이동 | .go creature id {args} | go creature id | 1 | Syntax: .go creature id #creature_entry [#spawn] Teleports you to first (if no #spawn provided) spawn the given creature entry.
[크리쳐] 크리쳐 Spawn 이동 | .go creature {args} | go creature | 1 | Syntax: .go creature $creature.guid Teleports you to the creature using `guid` value of `creature` table.
[크리쳐] 크리쳐 Spawn 목록 | .list creature {args} | list creature | 1 | Syntax: .list creature #creature_id [#max_count] Output creatures with creature id #creature_id found in world. Output creature guids and coordinates sorted by distance from character. Will be output maximum #max_count c
[크리쳐] 웨이포인트 새 점 추가 | .wp add | wp add | 3 | Syntax: .wp add Add a waypoint for the selected creature at your current position.
[크리쳐] 웨이포인트 Path에 추가 | .wp add {args} | wp add | 3 | Syntax: .wp add Add a waypoint for the selected creature at your current position.
[크리쳐] 웨이포인트 로드 | .wp load {args} | wp load | 3 | Syntax: .wp load $pathid Load pathid number for selected creature. Creature must have no waypoint data.
[크리쳐] 웨이포인트 언로드 | .wp unload | wp unload | 3 | Syntax: .wp unload Unload path for selected creature.
[크리쳐] 웨이포인트 리로드 | .wp reload {args} | wp reload | 3 | Syntax: .wp reload $pathid Load path changes ingame - IMPORTANT: must be applied first for new paths before .wp load #pathid
[오브젝트] 가까운 오브젝트 찾기 | .gobject target | gobject target | 1 | Syntax: .gobject target [#go_id|#go_name_part] Locate and show position nearest gameobject. If #go_id or #go_name_part provide then locate and show position of nearest gameobject with gameobject template id #go_id or nam
[오브젝트] 주변 오브젝트 목록 | .gobject near {args} | gobject near | 1 | Syntax: .gobject near [#distance] Output gameobjects at distance #distance from player. Output gameobject guids and coordinates sorted by distance from character. If #distance not provided use 10 as default value.
[오브젝트] 오브젝트 Entry 정보 | .gobject info {args} | gobject info | 1 | Syntax: .gobject info [$object_entry] Query Gameobject information for selected gameobject or given entry.
[오브젝트] 오브젝트 GUID 정보 | .gobject info guid {args} | gobject info | 1 | Syntax: .gobject info [$object_entry] Query Gameobject information for selected gameobject or given entry.
[오브젝트] 오브젝트 생성 | .gobject add {args} | gobject add | 3 | Syntax: .gobject add #id <spawntimeSecs> Add a game object from game object templates to the world at your current location using the #id. spawntimesecs sets the spawntime, it is optional. Note: this is a copy of .gameob
[오브젝트] 임시 오브젝트 생성 | .gobject add temp {args} | gobject add temp | 2 | Adds a temporary gameobject that is not saved to DB.
[오브젝트] 오브젝트 이동 | .gobject move {args} | gobject move | 3 | Syntax: .gobject move #goguid [#x #y #z] Move gameobject #goguid to character coordinates (or to (#x,#y,#z) coordinates if its provide).
[오브젝트] 오브젝트 회전 | .gobject turn {args} | gobject turn | 3 | Syntax: .gobject turn #goguid Set for gameobject #goguid orientation same as current character orientation.
[오브젝트] 오브젝트 삭제 | .gobject delete {args} | gobject delete | 3 | Syntax: .gobject delete #go_guid Delete gameobject with guid #go_guid.
[오브젝트] 오브젝트 활성화 | .gobject activate {args} | gobject activate | 2 | Syntax: .gobject activate #guid Activates an object like a door or a button.
[오브젝트] 오브젝트 리스폰 | .gobject respawn {args} | gobject respawn | 2 | Syntax: .gobject respawn #guid./nRespawns the target gameobject.
[오브젝트] 오브젝트 페이즈 | .gobject set phase {args} | gobject set phase | 3 | Syntax: .gobject set phase #guid #phasemask Gameobject with DB guid #guid phasemask changed to #phasemask with related world vision update for players. Gameobject state saved to DB and persistent.
[오브젝트] 오브젝트 Entry 이동 | .go gameobject id {args} | go gameobject id | 1 | Syntax: .go gameobject id #gameobject_entry [#spawn] Teleports you to first (if no #spawn provided) spawn the given gameobject entry.
[오브젝트] 오브젝트 Spawn 이동 | .go gameobject {args} | go gameobject | 1 | Syntax: .go gameobject $gameobject.guid Teleports you to the gameobject using `guid` value of `gameobject` table.
[오브젝트] 오브젝트 스폰 목록(50) | .gobject near 50 | gobject near | 1 | Syntax: .gobject near [#distance] Output gameobjects at distance #distance from player. Output gameobject guids and coordinates sorted by distance from character. If #distance not provided use 10 as default value.
[아이템] 아이템 추가 | .additem {args} | additem | 2 | Syntax: .additem Optional(playerName/playerGUID) #itemID/[#itemName]/#itemLink #itemCount Adds the specified item to you, the selected character or the specifed character name/GUID. If #itemCount is negative, you will re
[아이템] 아이템 세트 추가 | .additem set {args} | additem set | 2 | Syntax: .additemset #itemsetid Add items from itemset of id #itemsetid to your or selected character inventory. Will add by one example each item from itemset.
[아이템] 아이템 보유 목록 | .list item {args} | list item | 1 | Syntax: .list item #item_id [#max_count] Output items with item id #item_id found in all character inventories, mails, auctions, and guild banks. Output item guids, item owner guid, owner account and owner name (guild na
[아이템] 아이템 우편 발송 | .send items {args} | send items | 2 | Syntax: .send items #playername "#subject" "#text" itemid1[:count1] itemid2[:count2] ... itemidN[:countN] Send a mail to a player. Subject and mail text must be in "". If for itemid not provided related count values then
[아이템] 골드 우편 발송 | .send money {args} | send money | 2 | Syntax: .send money #playername "#subject" "#text" #money Send mail with money to a player. Subject and mail text must be in "".
[아이템] 일반 우편 발송 | .send mail {args} | send mail | 2 | Syntax: .send mail #playername "#subject" "#text" Send a mail to a player. Subject and mail text must be in "".
[아이템] 아이템 복구 목록 | .item restore list {args} | item restore list | 2 | Syntax: .item restore list [#playername] See restorable items for the specified player.
[순간이동] 플레이어에게 이동 | .appear {target} | appear | 1 | Syntax: .appear [$charactername] Teleport to the given character. Either specify the character name or click on the character's portrait,e.g. when you are in a group. Character can be offline.
[순간이동] 플레이어 소환 | .summon {target} | summon | 2 | Syntax: .summon [$charactername] Teleport the given character to you. Character can be offline.
[순간이동] 파티 소환 | .groupsummon {target} | groupsummon | 2 | Syntax: .groupsummon [$charactername] Teleport the given character and his group to you. Teleported only online characters but original selected group member can be offline.
[순간이동] 저장 텔레포트 이동 | .teleport {args} | teleport | 2 | Syntax: .teleport #location Teleport player to a given location.
[순간이동] 저장 텔레포트 추가 | .teleport add {args} | teleport add | 3 | Syntax: .teleport add $name Add current your position to .teleport command target locations list with name $name.
[순간이동] 저장 텔레포트 삭제 | .teleport del {args} | teleport del | 3 | Syntax: .teleport del $name Remove location with name $name for .teleport command locations list.
[순간이동] XYZ 이동 | .go xyz {args} | go xyz | 1 | Syntax: .go xyz #x #y [#z [#mapid [#orientation]]]Teleport player to point with (#x,#y,#z) coordinates at map #mapid with orientation #orientation.If #z is not provided, ground/water level will be used. If #mapid is not 
[순간이동] ZoneXY 이동 | .go zonexy {args} | go zonexy | 1 | Syntax: .go zonexy #x #y [#zone] Teleport player to point with (#x,#y) client coordinates at ground(water) level in zone #zoneid or current zone if #zoneid not provided. You can look up zone using .lookup area $namepart
[순간이동] Grid 이동 | .go grid {args} | go grid | 1 | Syntax: .go grid #gridX #gridY [#mapId] Teleport the gm to center of grid with provided indexes at map #mapId (or current map if it not provided).
[순간이동] 퀘스트 시작위치 | .go quest starter {args} | go quest | 1 | Syntax: .go quest <starter/ender> <quest>. Teleports you to the quest starter/ender creature or object.
[순간이동] 퀘스트 종료위치 | .go quest ender {args} | go quest | 1 | Syntax: .go quest <starter/ender> <quest>. Teleports you to the quest starter/ender creature or object.
[순간이동] 묘지 이동 | .go graveyard {args} | go graveyard | 1 | Syntax: .go graveyard #graveyardId Teleport to graveyard with the graveyardId specified.
[순간이동] 택시노드 이동 | .go taxinode {args} | go taxinode | 1 | Syntax: .go taxinode #taxinode Teleport player to taxinode coordinates. You can look up zone using .lookup taxinode $namepart
[순간이동] 트리거 이동 | .go trigger {args} | go trigger | 1 | Syntax: .go trigger #trigger_id Teleport your character to areatrigger with id #trigger_id. Character will be teleported to trigger target if selected areatrigger is telporting trigger.
[순간이동] 리콜 위치로 이동 | .recall | recall | 2 | Syntax: .recall [$playername] Teleport $playername or selected player to the place where he has been before last use of a teleportation command. If no $playername is entered and no player is selected, it will teleport yo
[티켓] 티켓 목록 | .ticket list | ticket list | 2 | Displays a list of open GM tickets.
[티켓] 온라인 티켓 | .ticket onlinelist | ticket onlinelist | 2 | Displays a list of open GM tickets whose owner is online.
[티켓] 티켓 보기(ID) | .ticket viewid {args} | ticket viewid | 2 | Usage: .ticket viewid $ticketid. Returns details about specified ticket. Ticket must be open and not deleted.
[티켓] 티켓 보기(이름) | .ticket viewname {args} | ticket viewname | 2 | Usage: .ticket viewname $creatorname. Returns details about specified ticket. Ticket must be open and not deleted.
[티켓] 티켓 완료 | .ticket complete {args} | ticket complete | 2 | Syntax: .ticket complete #ticketID Mark a ticket of the given ID as complete.
[티켓] 티켓 닫기 | .ticket close {args} | ticket close | 2 | Usage: .ticket close $ticketid. Closes the specified ticket. Does not delete permanently.
[티켓] 티켓 삭제 | .ticket delete {args} | ticket delete | 3 | Usage: .ticket delete $ticketid. Deletes the specified ticket permanently. Ticket must be closed first.
[티켓] 닫힌 티켓 | .ticket closedlist | ticket closedlist | 2 | Displays a list of closed GM tickets.
[티켓] 길드 정보 | .guild info {args} | guild info | 2 | Shows information about the target's guild or a given Guild Id or Name.
[티켓] 길드 생성 | .guild create {args} | guild create | 2 | Syntax: .guild create [$GuildLeaderName] "$GuildName" Create a guild named $GuildName with the player $GuildLeaderName (or selected) as leader. Guild name must in quotes.
